timestamp,open,high,low,close,volume,oi
2025-10-17T11:40:00+05:30,166.23,166.37,165.9,165.9,31905,0
2025-10-17T11:35:00+05:30,166.56,166.64,166.03,166.24,22110,0
2025-10-17T11:30:00+05:30,166.58,166.67,166.37,166.56,16091,0
2025-10-17T11:25:00+05:30,166.25,166.66,166.06,166.45,8269,0
2025-10-17T11:20:00+05:30,165.85,166.06,165.85,166.06,8209,0
2025-10-17T11:15:00+05:30,166.16,166.36,165.81,165.85,13858,0
2025-10-17T11:10:00+05:30,166.48,166.74,165.9,166.12,25163,0
2025-10-17T11:05:00+05:30,166.31,166.73,166.15,166.55,24281,0
2025-10-17T11:00:00+05:30,166.39,166.4,165.56,166.32,38484,0
2025-10-17T10:55:00+05:30,166.11,166.4,166.0,166.39,18497,0
2025-10-17T10:50:00+05:30,166.22,166.43,166.05,166.3,36310,0
2025-10-17T10:45:00+05:30,166.45,166.45,166.01,166.24,43287,0
2025-10-17T10:40:00+05:30,166.54,167.0,166.3,166.45,48293,0
2025-10-17T10:35:00+05:30,166.45,166.66,166.4,166.54,23355,0
2025-10-17T10:30:00+05:30,166.33,166.49,166.3,166.45,15943,0
2025-10-17T10:25:00+05:30,166.69,166.88,166.17,166.35,38967,0
2025-10-17T10:20:00+05:30,166.55,166.9,165.97,166.71,62743,0
2025-10-17T10:15:00+05:30,166.41,166.62,166.12,166.4,14830,0
2025-10-17T10:10:00+05:30,166.67,166.8,166.12,166.49,29100,0
2025-10-17T10:05:00+05:30,166.56,166.8,166.24,166.53,25913,0
2025-10-17T10:00:00+05:30,165.59,166.8,165.44,166.56,79306,0
2025-10-17T09:55:00+05:30,165.6,165.76,165.04,165.44,66627,0
2025-10-17T09:50:00+05:30,165.68,165.74,164.72,165.6,105534,0
2025-10-17T09:45:00+05:30,166.25,166.27,165.56,165.56,50845,0
2025-10-17T09:40:00+05:30,166.84,166.88,166.01,166.01,31990,0
2025-10-17T09:35:00+05:30,166.9,166.9,166.5,166.8,18667,0
2025-10-17T09:30:00+05:30,166.75,166.99,166.08,166.9,67095,0
2025-10-17T09:25:00+05:30,165.99,166.75,165.99,166.74,90573,0
2025-10-17T09:20:00+05:30,167.51,167.72,165.07,165.99,160050,0
2025-10-17T09:15:00+05:30,162.0,169.99,162.0,167.7,292953,0
2025-10-16T15:25:00+05:30,161.75,162.5,160.71,161.5,62609,0
2025-10-16T15:20:00+05:30,160.52,163.0,160.5,161.75,102385,0
2025-10-16T15:15:00+05:30,161.55,161.75,159.68,160.52,141482,0
2025-10-16T15:10:00+05:30,162.0,162.36,160.92,161.64,50255,0
2025-10-16T15:05:00+05:30,161.9,162.04,161.4,162.04,58208,0
2025-10-16T15:00:00+05:30,162.55,162.55,161.7,161.72,32740,0
2025-10-16T14:55:00+05:30,162.2,162.55,162.0,162.45,25884,0
2025-10-16T14:50:00+05:30,162.54,162.8,162.13,162.39,20516,0
2025-10-16T14:45:00+05:30,162.66,162.84,162.31,162.54,16232,0
2025-10-16T14:40:00+05:30,162.22,162.8,162.2,162.5,22336,0
2025-10-16T14:35:00+05:30,162.13,162.22,161.7,162.2,60689,0
2025-10-16T14:30:00+05:30,162.75,162.79,161.91,161.96,31110,0
2025-10-16T14:25:00+05:30,162.95,163.0,161.84,162.74,59118,0
2025-10-16T14:20:00+05:30,163.09,163.1,162.9,162.95,6266,0
2025-10-16T14:15:00+05:30,162.88,163.1,162.7,163.05,17329,0
2025-10-16T14:10:00+05:30,162.95,162.99,162.6,162.88,25919,0
2025-10-16T14:05:00+05:30,163.0,163.1,162.58,162.95,26948,0
2025-10-16T14:00:00+05:30,163.08,163.1,162.73,162.74,26115,0
2025-10-16T13:55:00+05:30,163.28,163.8,162.36,163.08,73082,0
2025-10-16T13:50:00+05:30,163.49,163.75,163.28,163.3,20323,0
2025-10-16T13:45:00+05:30,163.7,163.75,163.35,163.35,39518,0
2025-10-16T13:40:00+05:30,163.75,163.75,163.52,163.75,5695,0
2025-10-16T13:35:00+05:30,163.74,163.75,163.45,163.75,5595,0
2025-10-16T13:30:00+05:30,163.6,164.02,163.53,163.75,5712,0
2025-10-16T13:25:00+05:30,163.84,164.0,163.5,163.78,10738,0
2025-10-16T13:20:00+05:30,164.03,164.03,163.64,163.83,8307,0
2025-10-16T13:15:00+05:30,164.13,164.48,163.92,164.03,32403,0
2025-10-16T13:10:00+05:30,163.36,164.13,163.1,164.13,20977,0
2025-10-16T13:05:00+05:30,163.95,164.04,163.06,163.36,14815,0
2025-10-16T13:00:00+05:30,164.17,164.39,163.55,163.95,39638,0
2025-10-16T12:55:00+05:30,164.1,164.2,163.9,164.0,27730,0
2025-10-16T12:50:00+05:30,164.49,164.52,163.88,164.0,29957,0
2025-10-16T12:45:00+05:30,163.73,164.7,163.51,164.29,22312,0
2025-10-16T12:40:00+05:30,163.43,164.5,163.35,163.74,20835,0
2025-10-16T12:35:00+05:30,164.77,164.77,163.35,163.49,44537,0
2025-10-16T12:30:00+05:30,164.49,164.8,164.23,164.77,26043,0
2025-10-16T12:25:00+05:30,164.56,164.71,163.93,164.48,121582,0
2025-10-16T12:20:00+05:30,164.94,165.0,164.41,164.75,57272,0
